,Doc,Emotions,Topics
1305,N1305,neutral,environment | entertainment | sports | technology
1306,N1306,anger | fear | sadness | neutral,crime | environment | entertainment | education | money
1307,N1307,sadness | neutral,sports | environment | crime | entertainment | money
1308,N1308,anger | fear | sadness | neutral,environment | entertainment | politics | crime
1309,N1309,joy | neutral,environment | entertainment | sports | technology
1310,N1310,anger | sadness | neutral,politics | crime | environment | entertainment | money
1311,N1311,anger | sadness | fear | neutral,environment | entertainment | crime
1312,N1312,joy | neutral,technology | politics | crime | environment | entertainment
1313,N1313,fear | sadness | surprise | neutral,sports | technology | environment | crime | entertainment | education
1314,N1314,disgust | fear | joy | neutral,sports | technology | crime | environment | health | entertainment | education
1315,N1315,fear | sadness | surprise | neutral | anger,technology | crime | politics | environment | health | entertainment | education
1316,N1316,sadness | neutral,environment | entertainment | politics
1317,N1317,anger | neutral,environment | entertainment | education | crime
1318,N1318,sadness | neutral,sports | technology | environment | health | entertainment
1319,N1319,anger | surprise | joy | neutral,technology | environment | crime | health | entertainment | education
1320,N1320,fear | sadness | neutral,environment | entertainment | education
1321,N1321,sadness | neutral,environment | entertainment | sports | money
1322,N1322,disgust | sadness | neutral,environment | entertainment | health
1323,N1323,fear | sadness | joy | neutral,technology | environment | crime | health | entertainment | education
1324,N1324,sadness | joy | neutral,environment | entertainment | sports | health
1325,N1325,sadness | neutral,environment | politics | crime | health | entertainment | education | money
1326,N1326,disgust | surprise | neutral,sports | technology | environment | crime | entertainment | education
1327,N1327,sadness | neutral,sports | technology | environment | entertainment | education
1328,N1328,anger | neutral,sports | crime | politics | environment | entertainment | money
1329,N1329,sadness | neutral,sports | environment | crime | entertainment | education
1330,N1330,sadness | joy | neutral,environment | entertainment
1331,N1331,fear | surprise | neutral,environment | entertainment | money | technology
1332,N1332,joy | neutral,sports | technology | environment | crime | entertainment
1333,N1333,disgust | fear | sadness | joy | neutral,technology | environment | crime | health | entertainment | education
1334,N1334,neutral,technology | environment | politics | crime | entertainment
1335,N1335,disgust | sadness | joy | neutral,environment | entertainment | money | crime
1336,N1336,sadness | joy | neutral,environment | entertainment | money | crime
1337,N1337,sadness | joy | neutral,environment | entertainment | crime
1338,N1338,anger | fear | sadness | neutral,sports | crime | politics | environment | entertainment
1339,N1339,sadness | neutral,environment | entertainment | sports | money
1340,N1340,disgust | neutral,environment | entertainment | crime | health
1341,N1341,sadness | neutral,environment | entertainment | politics | money
1342,N1342,sadness | neutral,environment | entertainment | politics | money
1343,N1343,surprise | joy | neutral,environment | entertainment | money | technology
1344,N1344,fear | surprise | neutral,sports | technology | environment | politics | crime | health | entertainment | money
1345,N1345,sadness | neutral,technology | environment | health | entertainment | education
1346,N1346,sadness | surprise | neutral | joy,technology | environment | crime | entertainment | money
1347,N1347,anger | neutral,politics | entertainment | crime | environment
1348,N1348,neutral,environment | entertainment | education
1349,N1349,neutral,environment | entertainment | politics
1350,N1350,fear | sadness | neutral,technology | environment | politics | crime | entertainment | education | money
1351,N1351,fear | sadness | joy | surprise | neutral,technology | environment | entertainment | education | money
1352,N1352,fear | sadness | joy | neutral,technology | environment | politics | entertainment | education
1353,N1353,sadness | neutral,environment | entertainment | sports | technology
1354,N1354,sadness | fear | neutral,environment | entertainment | money | crime
1355,N1355,sadness | neutral,technology | environment | crime | politics | entertainment | education
1356,N1356,anger | neutral,environment | politics | crime | entertainment | money
1357,N1357,surprise | joy | neutral,environment | entertainment | money | education
1358,N1358,sadness | joy | neutral,environment | entertainment | education | health
1359,N1359,sadness | fear | neutral,technology | environment | entertainment | education | money
1360,N1360,sadness | neutral,politics | crime | environment | entertainment | education
1361,N1361,sadness | neutral,environment | crime | politics | health | entertainment | education | money
1362,N1362,anger | neutral,technology | environment | politics | crime | entertainment | money
1363,N1363,anger | surprise | neutral | joy,education | entertainment | money | environment
1364,N1364,anger | fear | sadness | neutral,technology | environment | politics | crime | entertainment | education
1365,N1365,neutral,environment | entertainment | money | health
1366,N1366,neutral,environment | entertainment | education | crime
1367,N1367,neutral,crime | entertainment | environment
1368,N1368,anger | neutral,technology | politics | environment | crime | health | entertainment | money
1369,N1369,disgust | neutral,environment | politics | crime | health | entertainment | education
1370,N1370,disgust | neutral,technology | environment | crime | entertainment | education
1371,N1371,fear | neutral,technology | politics | environment | health | entertainment | money
1372,N1372,sadness | joy | neutral,sports | technology | crime | environment | health | entertainment | education | money
1373,N1373,anger | sadness | neutral,environment | entertainment | sports
1374,N1374,sadness | neutral,technology | environment | crime | entertainment | money
1375,N1375,fear | neutral,environment | entertainment | money | technology
1376,N1376,neutral,technology | environment | politics | entertainment | money
1377,N1377,anger | sadness | neutral,technology | environment | politics | entertainment | education | money
1378,N1378,sadness | neutral,environment | entertainment | crime | health
1379,N1379,anger | joy | neutral,technology | environment | politics | entertainment | money
1380,N1380,neutral,sports | crime | environment | entertainment | money
1381,N1381,sadness | neutral,environment | entertainment | money | technology
1382,N1382,disgust | neutral,sports | technology | environment | crime | entertainment | money
1383,N1383,sadness | neutral,technology | environment | entertainment | education | money
1384,N1384,sadness | neutral,technology | environment | crime | entertainment | money
1385,N1385,fear | sadness | joy | neutral,technology | environment | crime | politics | entertainment | money
1386,N1386,sadness | fear | neutral,technology | crime | environment | entertainment | education | money
1387,N1387,fear | neutral,crime | environment | health | entertainment | education
1388,N1388,fear | neutral,technology | environment | politics | crime | entertainment | money
1389,N1389,sadness | neutral,technology | environment | politics | entertainment | money
1390,N1390,sadness | neutral,environment | crime | politics | entertainment | education | money
1391,N1391,joy | neutral,sports | technology | environment | health | entertainment | money
1392,N1392,fear | neutral,sports | technology | environment | politics | crime | entertainment | education | money
1393,N1393,neutral,technology | politics | crime | environment | entertainment | money
1394,N1394,sadness | neutral,sports | technology | environment | politics | crime | health | entertainment | money
1395,N1395,neutral,sports | technology | environment | crime | entertainment
1396,N1396,anger | sadness | neutral,technology | environment | politics | crime | entertainment | money
1397,N1397,sadness | neutral,technology | environment | crime | entertainment | education | money
1398,N1398,anger | neutral,sports | technology | environment | entertainment | money
1399,N1399,disgust | neutral,technology | environment | crime | entertainment | money
1400,N1400,disgust | anger | fear | neutral,technology | crime | environment | politics | health | entertainment | money
1401,N1401,anger | surprise | neutral,technology | environment | politics | crime | entertainment
1402,N1402,neutral,sports | technology | environment | crime | entertainment | education | money
1403,N1403,disgust | sadness | surprise | neutral | anger,environment | entertainment | crime | technology
1404,N1404,anger | fear | neutral,technology | environment | politics | health | entertainment | money
1405,N1405,disgust | neutral,technology | environment | crime | entertainment | money
1406,N1406,sadness | surprise | neutral,environment | entertainment | money | technology
1407,N1407,anger | fear | neutral,technology | environment | crime | health | entertainment | money
1408,N1408,neutral,technology | environment | politics | health | entertainment | money
1409,N1409,fear | sadness | neutral,environment | crime | health | entertainment | education | money
1410,N1410,sadness | joy | neutral,crime | environment | health | entertainment | education | money
1411,N1411,sadness | neutral,environment | entertainment | money | crime
1412,N1412,disgust | sadness | fear | neutral,sports | technology | environment | politics | crime | health | entertainment | money
1413,N1413,sadness | neutral,environment | entertainment | money | crime
1414,N1414,fear | neutral,environment | entertainment | money | technology
1415,N1415,sadness | neutral,technology | environment | politics | entertainment | money
1416,N1416,neutral,environment | entertainment | money | technology
1417,N1417,anger | sadness | neutral,environment | entertainment | money | technology
1418,N1418,fear | neutral,environment | politics | health | entertainment | money
1419,N1419,anger | sadness | neutral,technology | environment | crime | entertainment | money
1420,N1420,neutral,environment | entertainment | money | technology
1421,N1421,anger | neutral,crime | entertainment | technology | environment
1422,N1422,fear | neutral,technology | environment | crime | politics | health | entertainment | money
1423,N1423,neutral,sports | technology | politics | crime | environment | health | entertainment | money
1424,N1424,anger | neutral,environment | politics | crime | entertainment | education | money
1425,N1425,disgust | neutral,sports | technology | environment | crime | politics | entertainment | money
1426,N1426,fear | sadness | neutral,technology | crime | environment | health | entertainment | education | money
1427,N1427,neutral,sports | technology | politics | environment | crime | entertainment | money
1428,N1428,disgust | neutral,politics | crime | environment | entertainment | money
1429,N1429,sadness | fear | neutral,environment | politics | crime | entertainment | money
1430,N1430,fear | neutral,technology | environment | politics | health | entertainment | money
1431,N1431,neutral,technology | environment | crime | entertainment | money
1432,N1432,disgust | anger | neutral,technology | crime | environment | health | entertainment | education | money
1433,N1433,joy | neutral,technology | environment | politics | crime | entertainment | money
1434,N1434,anger | neutral,environment | politics | crime | entertainment | money
1435,N1435,neutral,technology | politics | environment | entertainment | money
1436,N1436,anger | neutral,technology | politics | crime | environment | entertainment | money
1437,N1437,disgust | neutral,technology | crime | environment | politics | health | entertainment | money
1438,N1438,neutral,technology | politics | crime | environment | entertainment | money
1439,N1439,joy | neutral,technology | environment | crime | entertainment | money
1440,N1440,fear | joy | neutral,environment | entertainment | money | technology
1441,N1441,anger | joy | neutral,sports | technology | politics | environment | crime | health | entertainment | money
1442,N1442,neutral,technology | politics | crime | environment | entertainment | money
1443,N1443,anger | fear | neutral,environment | politics | crime | entertainment | money
1444,N1444,sadness | fear | neutral,technology | environment | politics | health | entertainment | money
1445,N1445,disgust | neutral,technology | environment | politics | crime | health | entertainment | money
1446,N1446,fear | joy | neutral,crime | politics | environment | health | entertainment | money
1447,N1447,joy | neutral,sports | technology | environment | politics | health | entertainment | money
1448,N1448,anger | joy | neutral,environment | crime | health | entertainment | money
1449,N1449,anger | fear | neutral,technology | politics | crime | environment | health | entertainment | money
1450,N1450,disgust | anger | sadness | neutral,technology | environment | politics | crime | health | entertainment | money
1451,N1451,neutral,technology | politics | environment | health | entertainment | money
1452,N1452,anger | neutral,technology | crime | politics | environment | entertainment | money
1453,N1453,anger | neutral,technology | politics | crime | environment | entertainment | money
1454,N1454,sadness | neutral,sports | technology | crime | politics | environment | entertainment | money
1455,N1455,sadness | neutral,technology | environment | crime | politics | entertainment | money
1456,N1456,anger | sadness | joy | neutral,technology | environment | politics | crime | entertainment | money
1457,N1457,disgust | neutral,environment | entertainment | politics | money
1458,N1458,anger | neutral,sports | technology | politics | crime | environment | health | entertainment | money
1459,N1459,fear | neutral,technology | politics | environment | entertainment | money
1460,N1460,disgust | neutral,technology | environment | health | entertainment | education
1461,N1461,fear | neutral,technology | environment | crime | politics | health | entertainment | education | money
1462,N1462,anger | neutral,technology | crime | environment | politics | entertainment | money
1463,N1463,fear | neutral,technology | politics | crime | environment | health | entertainment | money
1464,N1464,neutral,sports | environment | politics | entertainment | money
1465,N1465,neutral,technology | politics | crime | environment | entertainment
1466,N1466,surprise | joy | neutral,sports | technology | environment | politics | crime | entertainment | money
1467,N1467,disgust | anger | neutral,technology | environment | crime | health | entertainment
1468,N1468,joy | neutral,technology | politics | environment | crime | health | entertainment | money
1469,N1469,anger | surprise | joy | neutral,environment | entertainment | money | crime
1470,N1470,fear | sadness | joy | neutral,sports | technology | environment | crime | entertainment | money
1471,N1471,disgust | neutral,technology | environment | crime | politics | entertainment | money
1472,N1472,disgust | anger | neutral,environment | politics | crime | entertainment | money
1473,N1473,neutral,technology | environment | politics | health | entertainment | education | money
1474,N1474,sadness | neutral,technology | environment | crime | entertainment | money
1475,N1475,fear | sadness | neutral,environment | politics | crime | health | entertainment | money
1476,N1476,disgust | sadness | neutral,sports | technology | environment | crime | politics | entertainment | money
1477,N1477,anger | neutral,technology | environment | crime | entertainment | money
1478,N1478,joy | neutral,environment | entertainment | money
1479,N1479,neutral,technology | environment | politics | health | entertainment | education | money
1480,N1480,disgust | anger | neutral,sports | technology | environment | crime | entertainment | money
1481,N1481,disgust | fear | sadness | joy | neutral | anger,technology | environment | crime | health | entertainment | education | money
1482,N1482,disgust | anger | sadness | neutral,technology | environment | politics | crime | health | entertainment | education | money
1483,N1483,fear | sadness | neutral,technology | politics | environment | crime | health | entertainment | education | money
1484,N1484,sadness | joy | neutral,sports | technology | environment | politics | crime | health | entertainment | money
1485,N1485,disgust | anger | fear | neutral,technology | environment | politics | crime | health | entertainment | money
1486,N1486,disgust | fear | joy | neutral | anger,technology | crime | environment | entertainment | education | money
1487,N1487,anger | sadness | fear | neutral,politics | crime | environment | health | entertainment | education | money
1488,N1488,disgust | anger | neutral,technology | politics | environment | crime | health | entertainment | education | money
1489,N1489,disgust | fear | sadness | neutral | anger,technology | environment | politics | crime | health | entertainment | education
1490,N1490,anger | sadness | joy | neutral,technology | environment | politics | crime | health | entertainment | money
1491,N1491,sadness | neutral,technology | environment | politics | crime | entertainment | education
1492,N1492,anger | sadness | neutral,technology | environment | crime | health | entertainment | money
1493,N1493,disgust | anger | fear | neutral,sports | technology | environment | crime | health | entertainment | education | money
1494,N1494,anger | sadness | neutral,technology | environment | crime | health | entertainment | money
1495,N1495,fear | sadness | surprise | neutral | anger,technology | environment | crime | health | entertainment | education | money
1496,N1496,disgust | fear | sadness | surprise | joy | neutral | anger,technology | crime | environment | politics | health | entertainment | education | money
1497,N1497,sadness | joy | neutral,technology | environment | crime | health | entertainment | money
1498,N1498,disgust | fear | sadness | neutral | anger,technology | crime | politics | environment | health | entertainment | education | money
1499,N1499,disgust | joy | neutral,technology | environment | crime | politics | health | entertainment | education | money
1500,N1500,disgust | sadness | surprise | neutral | anger,technology | environment | crime | health | entertainment | education | money
1501,N1501,anger | fear | neutral,technology | crime | environment | entertainment | education | money
1502,N1502,anger | neutral,technology | politics | environment | crime | health | entertainment | education | money
1503,N1503,disgust | fear | joy | neutral | anger,technology | crime | environment | entertainment | education | money
1504,N1504,disgust | surprise | joy | neutral | anger,sports | technology | environment | crime | health | entertainment | education | money
1505,N1505,anger | fear | neutral,technology | crime | environment | entertainment | education | money
1506,N1506,disgust | fear | sadness | joy | neutral | anger,technology | crime | environment | health | entertainment | education | money
1507,N1507,disgust | fear | joy | neutral,technology | environment | crime | entertainment | education
1508,N1508,disgust | sadness | surprise | neutral,technology | environment | crime | health | entertainment | money
1509,N1509,disgust | fear | neutral,technology | crime | environment | health | entertainment
1510,N1510,disgust | fear | sadness | joy | neutral | anger,technology | environment | crime | politics | health | entertainment | education | money
1511,N1511,disgust | surprise | joy | neutral | anger,technology | crime | environment | health | entertainment | education | money
1512,N1512,disgust | fear | joy | neutral | anger,technology | environment | crime | entertainment | education | money
1513,N1513,disgust | anger | joy | neutral,technology | environment | politics | crime | health | entertainment | education | money
1514,N1514,disgust | fear | sadness | neutral | anger,technology | environment | politics | crime | health | entertainment | education | money
1515,N1515,disgust | neutral,technology | crime | politics | environment | entertainment | money
1516,N1516,fear | neutral,technology | crime | environment | health | entertainment | money
1517,N1517,disgust | fear | sadness | surprise | neutral | anger,technology | environment | politics | crime | health | entertainment | education | money
1518,N1518,neutral,technology | environment | crime | health | entertainment | education | money
1519,N1519,disgust | fear | joy | neutral | anger,technology | environment | crime | entertainment | education | money
1520,N1520,disgust | fear | sadness | surprise | joy | neutral | anger,sports | technology | environment | crime | politics | health | entertainment | education | money
1521,N1521,disgust | fear | sadness | joy | neutral,technology | environment | crime | politics | health | entertainment | education | money
1522,N1522,disgust | fear | joy | neutral,technology | crime | environment | entertainment | education | money
1523,N1523,disgust | fear | joy | neutral,technology | environment | crime | politics | health | entertainment | money
